PlanID,PlanName,PlanPrice,PlanGB,UpgradePlanA,PromoCodeA_15,PromoCodeA_25,PromoCodeA_50,PromoCodeA_80,UpgradePlanB,PromoCodeB_15,PromoCodeB_25,PromoCodeB_50,PromoCodeB_80
PLAN001,Basic Plan,30,5,PLAN002,ABX54,BX12P,GB45K,XLY78,PLAN003,GTY21,KLM43,WX78J,HZQ56
PLAN002,Standard Plan,50,10,PLAN004,YPQ94,VTR21,BXL65,NZH34,PLAN007,QWE45,KTS98,BXN54,XPR89
PLAN003,Premium Plan,70,20,PLAN004,GJK34,PQM27,FLS94,JKY12,PLAN007,ZCX54,KLM76,BYN32,XPQ56
PLAN004,Ultra Plan,90,30,PLAN008,TXP89,TRW43,POM23,MNV78,PLAN017,BQR65,KLP98,YXM32,JZR67
PLAN005,Family Plan,120,50,PLAN017,BQX45,PQN84,KLT76,HZW23,PLAN018,NQX54,TRM67,FLS89,PQR90
PLAN006,Data Saver Plan,20,2,PLAN001,GXQ21,NZH65,TYU12,MKJ45,PLAN002,FLS67,PQX98,LRM32,MVT56
PLAN007,Unlimited Plan,70,Unlimited,PLAN019,NXK34,PLZ65,KLT54,JKY43,PLAN020,TLP21,KLX67,PQR23,XYZ78
PLAN008,Business Plan,80,40,PLAN017,QWX32,BXQ89,ZRY12,NKJ45,PLAN018,FLY76,TPL54,NYK89,JZT90
PLAN009,Student Plan,25,5,PLAN002,LPK65,KXY76,PTL54,QRM21,PLAN003,WXJ34,BLY98,MKY12,PXN89
PLAN010,Traveler Plan,40,15,PLAN004,FLP98,TXM21,BYN34,JZR87,PLAN005,PLZ65,NRJ54,YXP23,MLP90
PLAN011,Weekend Plan,15,2,PLAN001,QTZ12,TRM32,MKR76,ZLY43,PLAN002,BXJ89,NXQ12,ZRY67,PQM54
PLAN012,Gamer Plan,35,20,PLAN003,NQY89,TRZ76,PLT43,YXP98,PLAN004,MNT34,KXY21,FLY98,JKR56
PLAN013,Eco Plan,25,5,PLAN002,FLX65,NRZ54,PLM12,PXQ43,PLAN003,BXQ34,TRN89,YXY21,MLK56
PLAN014,Saver Plan,50,10,PLAN004,MQX54,KLZ32,PLY98,JZR43,PLAN007,NQY21,BXR67,TYU98,PQM12
PLAN015,Young Saver Plan,20,2,PLAN001,FLN12,TRZ65,KLP21,PXN89,PLAN002,BXQ76,NRX54,TLM98,PLK21
PLAN016,Pro Plan,100,50,PLAN017,YXY98,KLZ32,FLR65,PQR54,PLAN019,BQN21,ZRM43,NRZ98,JZT32
PLAN017,Family Plus Plan,150,75,PLAN019,ZRY32,PLT21,YXY65,JZR98,PLAN020,NXQ43,KXY98,PXN21,QRM76
PLAN018,Solo Saver Plan,40,15,PLAN005,BXP21,FLZ65,TRM43,PXN76,PLAN007,FLY54,PLM98,TYU21,JZR54
PLAN019,International,200,Unlimited,PLAN020,TYU32,ZRY65,TRM98,PLY43,N/A,BXR12,KXY54,JZT32,PLT98
PLAN020,Lite Plan,10,1,PLAN001,LRY54,ZRM32,KLY43,FLY98,PLAN002,PXQ12,ZLY21,FLR98,JZT65
